Running with 213 features on 1630 methods
1630 methods purged down to 1056
Created automatic annotations starting from 0 methods
Loaded 87066 methods from Android JAR
Created automatic annotations starting from 59 methods
Annotated sources: 139, sinks: 238, neither: 738
 inst#     actual  predicted error distribution (id)
     1     2:sink     2:sink       0,*0.667,0.333 ('<com.android.internal.telephony.cdma.CDMAPhone: void setSmscAddress(java.lang.String,android.os.Message)>')
     2     2:sink     2:sink       0,*0.667,0.333 ('<android.location.ILocationManager$Stub$Proxy: boolean sendExtraCommand(java.lang.String,java.lang.String,android.os.Bundle)>')
     3     2:sink     2:sink       0,*0.667,0.333 ('<android.accounts.AccountAuthenticatorActivity: void sendBroadcast(android.content.Intent,java.lang.String)>')
     4     2:sink     2:sink       0,*0.667,0.333 ('<com.android.inputmethod.accessibility.AccessibilityEntityProvider: boolean performAction(int,int,android.os.Bundle)>')
     5     2:sink 3:neithern   +   0.333,0,*0.667 ('<com.android.internal.telephony.cdma.CDMAPhone: com.android.internal.telephony.Connection dial(java.lang.String)>')
     6     2:sink     2:sink       0.333,*0.667,0 ('<com.android.mms.transaction.SendTransaction: byte[] sendPdu(long,byte[],java.lang.String)>')
     7     2:sink 3:neithern   +   0,0.333,*0.667 ('<com.android.internal.telephony.IccRecords: void setMsisdnNumber(java.lang.String,java.lang.String,android.os.Message)>')
     8     2:sink     2:sink       0,*0.667,0.333 ('<android.accounts.AccountAuthenticatorActivity: void sendOrderedBroadcast(android.content.Intent,java.lang.String,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>')
     9     2:sink     2:sink       0,*0.667,0.333 ('<android.content.ContextWrapper: void sendBroadcast(android.content.Intent,java.lang.String)>')
    10     2:sink     2:sink       0,*0.667,0.333 ('<android.filterpacks.videosink.MediaEncoderFilter: void open(android.filterfw.core.FilterContext)>')
    11     2:sink     2:sink       0,*0.667,0.333 ('<android.view.IWindowManager$Stub$Proxy: void stopAppFreezingScreen(android.os.IBinder,boolean)>')
    12     2:sink     2:sink       0,*0.667,0.333 ('<com.android.settings.DataUsageSummary: void setRestrictBackground(boolean)>')
    13     2:sink     2:sink       0,*0.667,0.333 ('<android.location.ILocationManager$Stub$Proxy: boolean sendExtraCommand(java.lang.String,java.lang.String,android.os.Bundle)>')
    14     2:sink     2:sink       0,*0.667,0.333 ('<android.view.IWindowManager$Stub$Proxy: void stopAppFreezingScreen(android.os.IBinder,boolean)>')
    15     2:sink     2:sink       0,*0.667,0.333 ('<android.accounts.AccountAuthenticatorActivity: void setRequestedOrientation(int)>')
    16     2:sink     2:sink       0,*0.667,0.333 ('<com.android.internal.telephony.PhoneBase: void notifyDataConnection(java.lang.String,java.lang.String)>')
    17     2:sink     2:sink       0,*0.667,0.333 ('<com.android.server.ConnectivityService: void setNetworkPreference(int)>')
    18     2:sink     2:sink       0.333,*0.667,0 ('<com.android.mms.transaction.Transaction: byte[] sendPdu(long,byte[],java.lang.String)>')
    19     2:sink     2:sink       0,*0.667,0.333 ('<android.app.Activity: boolean startNextMatchingActivity(android.content.Intent)>')
    20     2:sink     2:sink       0,*0.667,0.333 ('<android.view.IWindowManager$Stub$Proxy: void reenableKeyguard(android.os.IBinder)>')
